Model,Accuracy,F1-Score,Precision,Recall,AUC
BEST_MODEL,0.9736842105263158,0.9735839598997494,0.9757085020242916,0.9736842105263158,1.0
CNN-BiLSTM-Attention,0.8421052631578947,0.8350877192982455,0.8618421052631579,0.8421052631578947,0.9898785425101214
CNN-GRU-Attention,0.9210526315789473,0.9204244482173175,0.926745951417004,0.9210526315789473,0.9789698605488081
Inception1D-LSTM,0.8947368421052632,0.8937499999999999,0.9009287925696594,0.8947368421052632,0.9760833708202128
Parallel-CNN-LSTM,0.9210526315789473,0.9204244482173175,0.926745951417004,0.9210526315789473,0.9780326885590045
ResNet1D-LSTM,0.8421052631578947,0.836572966507177,0.8377708978328173,0.8421052631578947,0.9829434697855751
